fighter_name,status,age,height,weight,division,total_status,win_by_knockout,win_by_submission,title_defence,striking_accuracy,sig_Strikes_landed,sig_Strikes_attempted,takeDown_accuracy,takeDown_landed,takeDown_attempted,sig_str_landed_per_min,sig_str_absorbed_per_min,takeDown_avg_per_15_min,submission_avg_per_15_min,sig_str_defence,takeDown_defence,knockdown_avg,avg_fight_fime,sig_str_by_position_standing,sig_str_by_position_clinch,sig_str_by_position_ground,win_by_method_KO_TKO,win_by_method_DEC,win_by_method_SUB,sig_str_by_target_head,sig_str_by_target_head_percent,sig_str_by_target_body,sig_str_by_target_body_percent,sig_str_by_target_leg,sig_str_by_target_leg_percent,fight_history
Carlos Prates,Active,Striker,31,73.00,Welterweight Division,21-6-0 (W-L-D),11,16,9,57,149,260,100,,1,4.39,4.60,0.44,0.00,"49
                  %","92
                      %",3.54,06:47,147 (99%),0 (0%),2 (1%),16 (76%),2 (10%),3 (14%),79,53%,32,21%,38,26%,"[['Magny', 'Nov. 9, 2024', '1', '4:50', 'KO/TKO'], ['Jingliang', 'Aug. 17, 2024', '2', '4:02', 'KO/TKO'], ['Radtke', 'Jun. 8, 2024', '1', '4:47', 'KO/TKO']]",Radtke,"Jun. 8, 2024",1,4:47,KO/TKO
Jesse Butler,Not Fighting,32,70.00,136.00,Bantamweight Division,12-6-0 (W-L-D),1,8,4,35,31,89,N/A,N/A,N/A,2.02,4.62,0.00,0.00,"40
                  %",N/A,0.00,07:42,31 (100%),0 (0%),0 (0%),1 (8%),3 (25%),8 (67%),17,55%,9,29%,5,16%,"[['Katona', 'Jun. 8, 2024', '3', '5:00', 'Decision - Unanimous'], ['Miller', 'Jun. 3, 2023', '1', '0:23', 'KO/TKO']]",Katona,"Jun. 8, 2024",3,5:00,Decision - Unanimous
Jesse Butler,Not Fighting,32,70.00,136.00,Bantamweight Division,12-6-0 (W-L-D),1,8,4,35,31,89,N/A,N/A,N/A,2.02,4.62,0.00,0.00,"40
                  %",N/A,0.00,07:42,31 (100%),0 (0%),0 (0%),1 (8%),3 (25%),8 (67%),17,55%,9,29%,5,16%,"[['Katona', 'Jun. 8, 2024', '3', '5:00', 'Decision - Unanimous'], ['Miller', 'Jun. 3, 2023', '1', '0:23', 'KO/TKO']]",Miller,"Jun. 3, 2023",1,0:23,KO/TKO
Ramon Taveras,Active,MMA,31,68.00,Bantamweight Division,10-3-0 (W-L-D),5,3,5,45,152,339,N/A,N/A,N/A,4.62,7.41,0.00,0.00,"57
                  %","100
                      %",0.91,08:14,146 (96%),3 (2%),3 (2%),5 (50%),2 (20%),3 (30%),128,84%,16,11%,8,5%,"[['Grant', 'Dec. 14, 2024', '3', '5:00', 'Decision - Unanimous'], ['Sidey', 'Jan. 20, 2024', '3', '5:00', 'Decision - Split']]",Grant,"Dec. 14, 2024",3,5:00,Decision - Unanimous
Ramon Taveras,Active,MMA,31,68.00,Bantamweight Division,10-3-0 (W-L-D),5,3,5,45,152,339,N/A,N/A,N/A,4.62,7.41,0.00,0.00,"57
                  %","100
                      %",0.91,08:14,146 (96%),3 (2%),3 (2%),5 (50%),2 (20%),3 (30%),128,84%,16,11%,8,5%,"[['Grant', 'Dec. 14, 2024', '3', '5:00', 'Decision - Unanimous'], ['Sidey', 'Jan. 20, 2024', '3', '5:00', 'Decision - Split']]",Sidey,"Jan. 20, 2024",3,5:00,Decision - Split
Talita Alencar,Active,33,61.00,123.10,Women's Strawweight Division,5-1-1 (W-L-D),3,2,N/A,28,112,398,14,1,43,2.49,4.80,2.00,0.00,"53
                  %","50
                      %",0.00,15:00,72 (64%),16 (14%),24 (21%),0 (0%),2 (40%),3 (60%),68,61%,36,32%,8,7%,"[['Bruna Luciano', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous'], ['dos Santos', 'Dec. 9, 2023', '3', '5:00', 'Decision - Split']]",Bruna Luciano,"Aug. 10, 2024",3,5:00,Decision - Unanimous
Talita Alencar,Active,33,61.00,123.10,Women's Strawweight Division,5-1-1 (W-L-D),3,2,N/A,28,112,398,14,1,43,2.49,4.80,2.00,0.00,"53
                  %","50
                      %",0.00,15:00,72 (64%),16 (14%),24 (21%),0 (0%),2 (40%),3 (60%),68,61%,36,32%,8,7%,"[['Bruna Luciano', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous'], ['dos Santos', 'Dec. 9, 2023', '3', '5:00', 'Decision - Split']]",dos Santos,"Dec. 9, 2023",3,5:00,Decision - Split
Shauna Bannon,Active,30,65.00,123.90,Women's Strawweight Division,6-1-0 (W-L-D),2,3,1,42,131,313,0,,4,4.37,3.77,0.00,0.00,"42
                  %","43
                      %",0.00,15:00,124 (95%),7 (5%),0 (0%),2 (40%),3 (60%),0 (0%),66,50%,41,31%,24,18%,"[['Bannon', 'Jul. 27, 2024', '3', '5:00', 'Decision - Split'], ['Bannon', 'Jul. 22, 2023', '3', '5:00', 'Decision - Unanimous']]",Bannon,"Jul. 27, 2024",3,5:00,Decision - Split
Shauna Bannon,Active,30,65.00,123.90,Women's Strawweight Division,6-1-0 (W-L-D),2,3,1,42,131,313,0,,4,4.37,3.77,0.00,0.00,"42
                  %","43
                      %",0.00,15:00,124 (95%),7 (5%),0 (0%),2 (40%),3 (60%),0 (0%),66,50%,41,31%,24,18%,"[['Bannon', 'Jul. 27, 2024', '3', '5:00', 'Decision - Split'], ['Bannon', 'Jul. 22, 2023', '3', '5:00', 'Decision - Unanimous']]",Bannon,"Jul. 22, 2023",3,5:00,Decision - Unanimous
Luana Santos,Active,24,66.00,126.00,Women's Flyweight Division,8-2-0 (W-L-D),4,4,N/A,51,159,310,40,,10,4.28,4.15,1.62,1.21,"61
                  %","80
                      %",0.00,09:17,146 (92%),13 (8%),0 (0%),1 (13%),3 (38%),4 (50%),92,58%,48,30%,19,12%,"[[""O'Neill"", 'Aug. 17, 2024', '3', '5:00', 'Decision - Unanimous'], ['Santos', 'Jul. 13, 2024', '1', '3:27', 'Submission'], ['Santos', 'Dec. 9, 2023', '3', '5:00', 'Decision - Unanimous']]",O'Neill,"Aug. 17, 2024",3,5:00,Decision - Unanimous
